INFO  2016-05-05 17:49:47,946  1378ms UserDetailsController  Index              - Index Method starts at 5/5/2016 5:49:47 PM
INFO  2016-05-05 17:49:51,262  4694ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 5:49:51 PM
INFO  2016-05-05 17:49:55,508  8940ms UserDetailsController  Create             - Create Method starts at 5/5/2016 5:49:55 PM
INFO  2016-05-05 17:49:55,630  9062ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 5:49:55 PM
INFO  2016-05-05 17:50:28,919 42351ms UserDetailsController  Create             - Create Method starts at 5/5/2016 5:50:28 PM
INFO  2016-05-05 17:50:28,919 42351ms UserDetailsController  Create             - Create Method Model Is Valid at 5/5/2016 5:50:28 PM
INFO  2016-05-05 17:50:28,931 42363ms UserDetailsController  Create             - Create Method Insert Data On Tables Preet at : 5/5/2016 5:50:28 PM
INFO  2016-05-05 17:50:29,145 42577ms UserDetailsController  Create             - Create Method Data Save & End In Tables 5/5/2016 5:50:29 PM
INFO  2016-05-05 17:50:29,160 42592ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 5:50:29 PM
INFO  2016-05-05 17:50:29,175 42607ms UserDetailsController  Index              - Index Method starts at 5/5/2016 5:50:29 PM
INFO  2016-05-05 17:50:29,182 42614ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 5:50:29 PM
INFO  2016-05-05 17:50:56,486 69917ms UserDetailsController  Edit               - Edit Method starts 3at 5/5/2016 5:50:56 PM
INFO  2016-05-05 17:50:56,677 70109ms UserDetailsController  Edit               - Edit Method Get Details of Preet at: 5/5/2016 5:50:56 PM
INFO  2016-05-05 17:50:56,677 70109ms UserDetailsController  Edit               - Edit Method End at 5/5/2016 5:50:56 PM
INFO  2016-05-05 17:50:56,688 70120ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 5:50:56 PM
INFO  2016-05-05 17:51:40,674 114106ms UserDetailsController  Index              - Index Method starts at 5/5/2016 5:51:40 PM
INFO  2016-05-05 17:51:40,689 114121ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 5:51:40 PM
INFO  2016-05-05 18:16:31,166 1604597ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:16:31 PM
INFO  2016-05-05 18:16:34,228 1607659ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:16:34 PM
INFO  2016-05-05 18:16:36,069 1609501ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:16:36 PM
INFO  2016-05-05 18:16:36,091 1609523ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:16:36 PM
INFO  2016-05-05 18:17:04,703 1638134ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:17:04 PM
INFO  2016-05-05 18:17:04,713 1638144ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:17:04 PM
INFO  2016-05-05 18:17:07,695 1641126ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:17:07 PM
INFO  2016-05-05 18:17:07,699 1641130ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:17:07 PM
INFO  2016-05-05 18:17:26,927 1660358ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:17:26 PM
INFO  2016-05-05 18:17:26,940 1660371ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:17:26 PM
INFO  2016-05-05 18:17:31,242 1664674ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:17:31 PM
INFO  2016-05-05 18:17:31,248 1664680ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:17:31 PM
INFO  2016-05-05 18:17:38,527 1671959ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:17:38 PM
INFO  2016-05-05 18:17:38,533 1671965ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:17:38 PM
INFO  2016-05-05 18:17:39,890 1673321ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:17:39 PM
INFO  2016-05-05 18:17:39,893 1673324ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:17:39 PM
INFO  2016-05-05 18:18:03,310 1696742ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:18:03 PM
INFO  2016-05-05 18:18:03,311 1696743ms UserDetailsController  Create             - Create Method Model Is Invalid at 5/5/2016 6:18:03 PM
INFO  2016-05-05 18:18:03,319 1696751ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:18:03 PM
INFO  2016-05-05 18:18:10,500 1703932ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:18:10 PM
INFO  2016-05-05 18:18:10,509 1703941ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:18:10 PM
INFO  2016-05-05 18:21:22,152 1895584ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:21:22 PM
INFO  2016-05-05 18:21:25,879 1899311ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:21:25 PM
INFO  2016-05-05 18:21:33,283 1906715ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:21:33 PM
INFO  2016-05-05 18:21:33,363 1906795ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:21:33 PM
INFO  2016-05-05 18:22:19,590 1953021ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:22:19 PM
INFO  2016-05-05 18:22:19,596 1953027ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:22:19 PM
INFO  2016-05-05 18:23:34,805 2028237ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:23:34 PM
INFO  2016-05-05 18:23:34,814 2028246ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:23:34 PM
INFO  2016-05-05 18:23:42,264 2035696ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:23:42 PM
INFO  2016-05-05 18:23:42,274 2035706ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:23:42 PM
INFO  2016-05-05 18:24:09,158 2062589ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:24:09 PM
INFO  2016-05-05 18:24:09,173 2062604ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:24:09 PM
INFO  2016-05-05 18:24:15,316 2068748ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:24:15 PM
INFO  2016-05-05 18:24:15,325 2068757ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:24:15 PM
INFO  2016-05-05 18:29:53,666 2407097ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:29:53 PM
INFO  2016-05-05 18:29:53,679 2407110ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:29:53 PM
INFO  2016-05-05 18:29:55,378 2408809ms UserDetailsController  Edit               - Edit Method starts 1at 5/5/2016 6:29:55 PM
INFO  2016-05-05 18:29:55,384 2408815ms UserDetailsController  Edit               - Edit Method Get Details of Harsh at: 5/5/2016 6:29:55 PM
INFO  2016-05-05 18:29:55,385 2408816ms UserDetailsController  Edit               - Edit Method End at 5/5/2016 6:29:55 PM
INFO  2016-05-05 18:29:55,397 2408828ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:29:55 PM
INFO  2016-05-05 18:32:56,471  1326ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:32:56 PM
INFO  2016-05-05 18:32:59,606  4461ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:32:59 PM
INFO  2016-05-05 18:33:01,351  6206ms UserDetailsController  Create             - Create Method starts at 5/5/2016 6:33:01 PM
INFO  2016-05-05 18:33:01,531  6386ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:33:01 PM
INFO  2016-05-05 18:33:23,069 27924ms UserDetailsController  Index              - Index Method starts at 5/5/2016 6:33:23 PM
INFO  2016-05-05 18:33:23,080 27935ms UserDetailsController  Dispose            - Dispose Start at 5/5/2016 6:33:23 PM
